DRAFT - Annual Report data for 2011/12.,,,,Usage,,,,,,,,,,,,,,,,,,,,,,,,,Additional Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Yearly Total,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.rail-reg.gov.uk/,Office Of Rail Regulation,9908,14524,12220,12497,12577,13193,14232,16229,8844,16301,18247,20659,169431,20149,30394,26726,26462,26206,25962,27441,30942,17383,32274,29034,32456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.pensionprotectionfund.org.uk ,Pension Protection Fund,13168,13793,12776,12774,13312,13723,16519,16784,12679,17409,17678,18040,178655,21269,22809,21569,20992,21461,22939,27019,27773,20085,28732,29250,32399,"Website went live in 2009 and was built to AA level Guidelines. PPF is undergoing a wide ranging IT service review at present, which includes provision of website services, and may lead to a website redesign. The one employee listed is the only one who spend 50% or more time on website work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCLG,www.tenantservicesauthority.org,Tenants Service Authority,18602,20501,23377,20228,20317,20284,16752,20023,14323,19510,18086,21640,233643,25520,28253,34221,28895,28545,28541,23469,29175,20616,27989,25640,31239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.raib.gov.uk,The Rail Accident Investigation Branch,12766,9870,15014,16297,17937,16442,16730,16191,11978,12944,17565,16094,179828,24295,18095,29053,33601,36806,31939,35005,28710,20836,23030,31941,30821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCLG,www.lgo.org.uk,The Local Government Ombudsman,15630,18064,18496,20611,17942,18782,21168,22691,15860,21410,20921,23371,234946,20719,23746,24766,27775,24166,24579,27511,29223,20097,27588,27205,30509,Return completed as far as possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.gac.culture.gov.uk,Government Art Collection,14819,15433,15779,13479,13927,14956,15427,16907,18065,21118,21789,21997,203696,26609,27022,33241,36307,36589,54978,86298,21803,22277,27511,27374,30479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.maib.gov.uk,Marine Accident Investigation Branch,11409,13202,11509,10929,13653,12503,14235,14397,14347,19031,13721,18380,167316,19475,22707,19893,19006,22670,20873,23623,23709,23469,29698,22683,30116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.plr.uk.com,Public Lending Right,11535,17391,13614,13444,9887,8918,10396,11379,18613,24553,15555,10482,165767,20174,28999,25956,22391,14934,14487,27240,31576,40227,55250,35568,27179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.identity.nhs.uk,Identity NHS,,,,,,,,,,,,,0,26542,33119,33839,58847,48516,48205,48034,52971,31991,24759,20320,27038,8.b. The site was originally built to be AA compliant but due to recent content changes this has been reduced to single A compliant. There are two errors which if fixed would revert the siteback to AA compliant.                                                                                                                                                                                                                                        9. The actual uptime is 99.98% but the field keeps rounding it up to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.bonavacantia.gov.uk,Bonavacantia,10370,9972,10529,20431,30001,14367,11342,30001,26892,13557,11994,11579,201035,22319,23419,23179,42246,59456,37091,30290,108689,42214,27861,25219,25085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.planetearth.nerc.ac.uk,Planet Earth,17430,21068,20351,22307,16205,20091,21950,25131,18981,188260,23973,19961,415708,17430,21068,20351,22307,16205,20091,21950,25131,18981,188260,23973,24786,"4/5 January) The increase in order of magnitude was due to a popular story on Darwin fossils, trending on reddit.7) Large staff costs are due to the use of Science writers using the site as their primary communication medium and not technical support.11) Although we don't have a site map all the article pages are avaiable via an index which can be crawled.  This means we meet the purpose of TG122 if not the technical solution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,"www.defra.gov.uk/fera (including www.secure.fera.defra.gov.uk/beebase/, www.secure.fera.defra.gov.uk/cropmonitor/, www.cropmonitor.co.uk/, nematodesuk.fera.defra.gov.uk/",The Food and Environment Research Agency,10770,12422,2847,5486,11509,13133,13320,22729,10003,13949,13483,17056,146707,14896,17036,3523,7248,16025,18289,18513,33610,13440,19571,18570,23494,"Staff costs are for development, maintenance, support and one fte spending around 60% of their time updating the website.  The visitor/unique device figures for June and July 2011 are inccurate - this is the time we switched to new Defra web templates, and the Google Analytics code was not copied across.  We noticed this when the monthly stats for June were extracted, and this was fixed sometime in July, hence the drop in traffic figures and the subsequent rise once the fix was implemented.  This return only includes information (including costs) relating to the Fera website (www.defra.gov.uk/fera)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.blogs.mod.uk,Defence News,6023,6721,7365,6609,6850,7673,7233,10631,6709,7384,7230,7612,88040,12254,13584,14358,12678,12838,13796,12919,17535,17792,13859,13375,23338,"The User survey has not been done this year due to the site moving onto the single domain when available, All compliance testing has been tweaked to provide accessability, but the CMS does not allow for total hand coding. This blog is on the Typepad CMS platform and we are not allowed to tweak the CMS in any way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.statisticsauthority.gov.uk,UK Statistics Authority,8953,9834,8147,7073,7182,8439,9807,11517,7345,10149,13816,20884,123146,10569,11459,9748,8544,8550,9992,11766,13507,8971,12114,15737,22829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.childmaintenance.org,Child Maintenance ,4176,4515,4561,4818,4366,6905,9005,8697,7661,10588,9613,10262,85167,12991,13311,12361,13836,13615,17676,20629,19859,19664,24095,22018,22163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.defencenewsimagery.mod.uk,MoD DMC Sec Imagery,1630,1720,1527,1401,1357,1182,1615,1650,1423,1294,1866,1345,18010,16933,17008,15617,14382,13776,16587,31579,40129,37096,29435,23186,19949,"Please note that this website is not accessible to the general public.  The website is provided to MoD Media Operations staff and members of the media only.  The majority of the content provided on the site, has been supplied by frontline commands and oth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.dstl.gov.uk,Defence Science & Technology Laboratory,11562,13529,13278,11796,13742,14516,14999,13100,9252,13962,15070,14196,159002,16914,19078,18469,16608,19755,20407,21006,17469,12308,18439,20798,19377,"Online annual survey - Dstl introduced a new look website in 2011/12 and the site has been developing through the year, as stated in last years internet data collection the online annual survey is scheduled for summer 2012.          * Non-staff costs - th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.cefas.defra.gov.uk,"Centre for Environment, FisheriesÊ&ÊAquaculture Science",9594,12444,10582,9856,9469,10278,12470,12465,9516,11124,11188,11301,130287,15258,20644,18114,17107,15935,17516,20500,20729,17035,19470,19732,18606,"QUALITY MEASURES: An annual user survey was not undertaken during 2011/12, as we were not aware that this was still a requirement in 2011/12. In addition, convergence to Defra website and/or its design was being undertaken during that time; and the single-gov website convergence was anticipated. In retrospect, it would have been a potential waste of (non-existent) resource to capture quality stats when we know that our web offering/presence in future was going to be curtailed and/or seriously altered. COSTS: There have been no external costs for design, build, editorial, etc. All work on the website has been done by in-house staff (including updates to database interactivity, covering in-house developers' time). USAGE: Usage statistics are for web pages only and do not include supplimentary downloads (e.g. PDFs). STANDARDS: Standard templates and a sample of pages have been tested for accessibility: so, not every page on the site has been tested.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.hta.gov.uk,Human Tissue Authority,17746Ê,19856Ê,18680Ê,16426Ê,17070Ê,17624Ê,24071Ê,22697Ê,18899Ê,22306Ê,25511Ê,11820,11820,39268Ê,44395Ê,42323Ê,45210Ê,41084Ê,38863Ê,45181Ê,45517Ê,41791Ê,44355,"47,151Ê",18526,"With regards to the CSS compliance, it suggested that there were eight errors, which we are currently fixing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.redtapechallenge.cabinetoffice.gov.uk,Red Tape Challenge,63367,37932,25749,18672,11138Ê,12341,15056,12677,9836,11787,Ê8553,14125,221542,83937,52451,36395,25365,14528,15638,18715,16707,12374,15460,11927,18432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.dsfc.ac.uk,Defence Academy of the United Kingdom,11174,7220,7746,7714,9342,14086,12890,11244,7949,12056,10418,12486,124325,16308,11071,11839,12891,16524,21768,19594,17246,13344,18178,15631,18149,Cost data is not available as web site is delivered entirely through a PFI contract by Minerva/TQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.astro.ukho.gov.uk,UK Hydrographic Office,,,1929,13631,27756,12382,11274,12935,20596,13965,11823,13777,140068,,,2174,18693,38075,21481,17009,20647,26127,18404,15469,17707,astro.ukho.gov.uk went live at the end of June 2011. As yet no annual survey has been taken. This site represents the amalgamation of four tested and operational sites. Testing and content are generated outside work time for the most part. I look after the sites within the DMZ here at UKHO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfE,www.cafcass.gov.uk,Children and Family Court Advisory and Support Service,13485,14944,14825,13489,13959,14483,14260,15236,10288,17167,15295,14885,172316,16171,17725,17622,15993,16534,17006,16698,17793,11820,19989,17620,17384,We have received Insufficient responses to user survey to include the data (as per the guidelines). This will now run into April and the figures can be included on request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DFT,www.hs2.org.uk/,High Speed 2,8717,11960,12422,13646,7738,8072,10623,11775,8118,66360,15598,10465,185494,11614,15882,15623,17190,10076,10231,13726,15189,10417,81753,21910,14783,"The site is now listed for closure, hence no user survey was carried out. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.competition-commission.org.uk,BIS,16122,18009,13942,15123,12817,16320,20255,21060,15016,17813,16734,14268,197479,26914,29483,23954,25623,21798,26175,32322,34401,24467,29768,28510,14268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,FCO,www.marshallscholarship.org,Marshall Schollarship,15631,16429,14624,14521,18509,22372,17770,15217,12058,14773,13908,10959,186771,20667,22045,20520,21371,29376,38304,27213,21104,15851,18879,17935,13712,The MACC pays the ACU an administration fee for the Secretariat Services the website is part of this overall fee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.pensions-ombudsman.org.uk,The Pensions Ombudsman,3364,3755,4196,3665,3679,3526,3939,5687,3717,4185,4460,4623,48796,9707,10320,11650,10791,10701,10422,10557,14355,10397,12112,12585,13086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.contracts.mod.uk,MOD - Defence Suppliers' Service,5171,5700,5789,5739,6650,6599,7198,11427,5584,7261,6911,7337,81366,9124,9806,10357,9620,11188,10748,11559,19223,9505,12755,12280,13000,"The MOD Defence Contracts Online (www.contracts.mod.uk) website is provided under contract to the MOD by BiP Solutions Ltd. The service is provided at no cost to the MOD or free users of the service.  This includes all hosting, management, content and adminstration charges. The website was relaunched in November 2011; therefore no user survey has been deployed at this stage. Once the site has been established for a full 12 months a user survey will be instigated in order to capture user feedback on the points raised in this survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.nestpensions.org.uk ,National Employment Savings Trust,1112,4552,3792,3910,4436,5361,5641,6283,4295,6388,5952,6060,57782,1845,10043,9544,9354,9949,11006,11335,12969,9589,14124,12719,12890,"Quality Metrics: This information is not yet available as TCS, NESTÕs outsource partner, are not required to conduct the first user survey until October 2013, one year post official go live.       Costs: NEST are unable to break out the costs for our public website as they follow an outsource model and the vast majority of costs associated with the website are managed as part of a bigger contract through TCS, the outsource partner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.techcityuk.com/,Techcity,,,,,2059,6871,6262,12891,5190,7318,6061,8881,55533,,,,,3089,8877,9655,18926,7361,9980,8660,11941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.armedforcesday.org.uk,Armes Forces Day,8577,31403,157143,6723,2591,2420,2629,3922,2103,3773,4210,9521,235015,10134,36518,193452,8525,2976,2748,2946,4411,2417,4454,5094,11282,"A lack of available resource prevented us from carrying out an online annual user survey last year. Costs are so small that it would be incredibly difficult to accurately record them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.passengerfocus.org.uk,Passenger Focus,4936,4524,6426,5792,6004,5693,6460,6317,5231,8409,6964,8102,74858,6774,7685,8647,7741,7894,7378,8472,8257,6718,11430,9006,10828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.gls.gov.uk,Government Legal Service,4373,5584,5436,13951,5292,5270,7373,7461,4420,7359,6174,8297,80990,5283,6739,6689,23424,7417,6733,10257,10860,5522,9569,7503,10827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,GAD,www.gad.gov.uk,Government Actuary's Department,4948,5661,5714,5057,4967,5688,7498,6967,5049,7116,6835,8090,73590,6626,7589,7945,7029,6742,7536,9934,9246,6865,9798,8953,10458,A survey has not yet been completed on our website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.ukradon.org,"The Centre for Radiation, Chemical and Environmental Hazards",7703,6389,5868,9947,6537,6581,8198,7108,8628,7498,6880,7843,89180,9480,7782,7323,11650,7953,7998,10068,8764,10132,8956,8329,10407,"Ukradon website generates ~£100k income annually fro msales of risk reports and online ordering of radon detectors12.a - tested against Explorer, Chrome and Firefox - not Safari yet (will do in early FY12/13.  Others are <2% by google analytics statsSubject to funding, work plan for FY12/13 will include online user survey tool.Usage stats from weekly Google analytics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.ukad.org.uk,UK Anit doping in sport,7820,18037,7558,12649,5589,25721,5535,5517,10080,7156,6323,7043,119028,4998,18037,11773,20477,8469,28942,8571,8450,13184,10234,9265,10393,The UK Anti-Doping website was refreshed in 2011 to provide key anti-doping information for our key audiences in advance of London 2012. A visitor satisfaction survey will be undertaken post-Games.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.tsol.gov.uk/,Treasury Solicitor's Department,3823,4309,4523,5060,5133,5659,5475,6109,4239,5319,5556,6141,61346,6380,7380,7834,8409,8382,9938,9905,9469,6899,8701,9220,10164,"Tool used for compliance is 'A-Prompt', as no recommended tool identified. WCAG A failure due to É1. Flicker should be avoided. Objects can be marked as no flicker2. Images missing 'alt' text. Mainly 'Spacer.gif' which should have alt text of "" ""3. Complex images missing long text. Can be marked as not complex.WCAG AA failure due to É1. As WCAG A above plus additional. Such as new windows require warning text and link text may not be meaningful. Broken Links Redirection ...Qinetiq can put a custom 404 page in place if we supply it. Site Map ...Page can be created to show structure and any URL's. Used by search engines. Coding Standards ....(X)HTML - Errors found. ( validator.w3.org/ )CSS. Errors found . ( jigsaw.w3.org/css-validator/ )ALL THE ABOVE ISSUES ARE FIXABLE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.e-bug.eu/,e-bug,5214,8056,6837,3698,3475,7350,6951,9248,5105,7368,7137,8105,78544,6733,10380,8361,4647,4216,9117,8425,11439,6239,9344,8910,10000,8: Testing was done only on the teachers section of the site (html/css) as the children's section is a flash site.  8.c: Manual testing was done when site was first created but not in the last year. 12/12.b: Site has been tested on all browsers (old and new) to insure its compatible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.nibsc.ac.uk,The National Institute for Biological Standards and Control,5485,6114,5800,5381,5371,5806,6069,6249,5019,6801,6899,6564,71558,8490,9454,8878,7935,8462,5806,8944,8985,7142,9632,10056,9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfE,www.childrenscommissioner.gov.uk,Childrens Commissioner,3767,3971,5482,4867,3811,4946,6429,6553,3131,6701,5420,7286,62364,4956,5282,7224,6844,5268,6762,8344,8558,4135,8585,7357,9438,Please note OCC has not had a web officer since July 2011. Only information not requiring specialist website knowledge has been added to the site since then.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.sacn.gov.uk,The Scientific Advisory Committee on Nutrition,4048,4579,4005,3684,3559,3740,5885,5431,4543,6001,5881,6485,57841,6325,7381,6724,6221,5747,6066,10046,8995,6908,8943,8932,9429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCLG,www.valuationtribunal.gov.uk,Valuation Tribunal,3230,3490,3610,4644,4143,3710,4114,3957,2997,4422,4482,5046,47845,4936,5391,6018,7367,6930,6295,6770,6845,5119,7597,7699,8095,Survey was by telephone not online (base of 27 respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DFID,www.stabilisationunit.gov.uk/,Stabilisation Unit,4893,5031,4287,4097,4561,4096,4616,5239,4030,5221,5070,5716,56857,6975,7364,6451,6217,6776,7195,6432,7103,5672,7455,7563,8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.catribunal.org.uk,Competition Appeal Tribunal,3563,3483,2964,3074,2957,5469,4023,4131,3934,3530,4028,3661,44817,7697,7316,6058,5997,5653,12198,7963,8060,7175,6618,7564,7417,Staff costs are included under Strategy & Planning and Content Provision as no member of staff spends more that 50% of their time on website related activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.thefutureofnavigation.com/,Admiralty,2489,2648,2501,2276,2345,2156,1844,2182,1303,1073,1666,5995,28478,3106,3357,3381,3059,3090,2944,2349,2794,1753,1496,2238,6862,"We do not yet measure TG126. This is something due to start this year, now that our websites have largely been rationalised.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DECC,www.theccc.gsi.org.uk,DECC,6892,15031,7174,6931,5467,5423,6632,8245,7784,7843,9945,9542,96909,6892,21864,10623,11260,8417,7648,9576,12042,11236,11061,6909,6622,"The number of respondents to the survey was 29. The survey was live for ten days , falling during the Easter holidays.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.capitalforenterprise.gov.uk,Capital Enterprise,2190,2075,2262,2144,2105,2342,2307,2377,2026,2918,2866,2733,28345,6429,6406,5993,5584,5621,5709,5682,5546,4973,6200,6394,6357,"- Our website is a simple informational website about CfEL and its role as an arms length body.  - Those who interact with CfEL are usually financial institutions or other parts of government, not individuals or consumers.- We do not invite or undertake any transactions through the website.- We do not use Civil Service staff grades.- Our internal web resources are minor and only relate to content management (news etc.).  There is no dedicated resource; time spent is a rough estimate.- Hosting costs are included within wider IT outsourcing contract and not separable, so guessed.- We do not have a system for automatic collection of user feedback, but could put in place at additional cost. - Site was CSS compliant when established. Compliance with current CSS standards has been checked and website upgraded as far as possible consistent with VFM. The remaining minor formatting deficiencies against current standards would require expensive rebuild.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.attorneygeneral.gov.uk,Attorney Generals Office,11713,13611,14838,12527,10136,8069,8524,6771,7076,8332,8262,7821,117680,7439,9202,10185,8374,6861,5410,6311,5237,5771,6632,6645,6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,FCO,www.wiltonpark.org.uk/en/,Wilton Park,3290,4265,3737,3261,2402,3599,3941,4260,3402,4680,3891,4067,44795,4436,5839,5301,4485,3215,4816,5282,5785,4358,6340,5256,5292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.ind-case-exam.org.uk ,The Independent Case Examiner,1804,1843,1956,2007,1960,1855,2029,1996,1795,2072,2191,2139,23647,6346,5376,5177,4985,4899,4616,4712,4888,4246,4706,4609,4992,No CSS necessary given the specialised nature and sensitivity of the site. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.offa.org.uk,The Office for Fair AccessÊ,4925,3210,2870,8347,2864,5015,4260,7209,6202,3595,4518,3336,56351,7055,4245,3802,11927,4399,6650,5958,9402,7840,4943,6160,4985,Refs 1 -3: We have not recently run a user satisfaction survey but are exploring the possibility of doing so in a resource-/cost-effective way. Ref 8a-d: Accessibility testing was carried out when the site was originally developed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.ukexportfinance.gov.uk,Export Credits Guarantee Department,6109,6262,6366,5669,5526,5435,5807,7102,5391,7309,7145,7034,75155,4081,4245,4285,3934,3787,3899,4156,5119,3792,5134,5203,4851,The answer to question 9 will be identical to that for www.bis.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,FCO,www.fcoservices.gov.uk,Foreign and Commonwealth Office - Services,1479,1771,1877,2053,2037,2098,2680,2443,1754,2566,3084,3330,27172,1709,2539,3380,3325,3343,3000,3625,3510,2414,3835,4365,4719,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DFE,www.inca.org.uk/,International Review of Curriculum and Assessment Frameworks (INCA),3994,4096,3109,2632,2501,3724,4607,4691,2171,2921,3612,3412,31244,3994,4096,3109,2632,2501,3724,4607,4691,2171,3831,3612,4507,"contract novated from QCDA to DFE in November 2011. previously hosted by QCDA, best VFM solution was determined to be that the content supplier take on hosting for blanlance of contract hence some desing costs associated with transfer, hosting costs of £895 per month from nov to Dec of 2011 (and onward).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.dsg.mod.uk,the Defence Support Group,2213,2603,930,2202,2617,2905,2704,2852,1980,2847,2763,2681,29297,2749,3227,1119,2647,3322,3549,3281,3515,2405,3521,3376,3339,Nbs.  1) An online user survey was conducted but we received minimal responses.  They have therefore not been included. 2) DSG do nor explicitly record staffing costs for the external website due to its low cost nature. Therefore only the figures for the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.uk-atomic-energy.org.uk,UK Atomic energy,1816,1881,2042,1846,2932,2531,3020,2830,2685,2967,2365,2512,29427,2388,2529,2873,2487,3685,3193,3804,3493,3333,3656,3030,3217,The website is hosted internally on shared servers and this aspect is essentially free.  Staff costs associated with the website cover updating and testing of the website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.londonpressservice.org.uk,UKTI,,735,2289,2099,1845,2721,2242,2991,1931,3051,2624,2756,25284,,886,1849,2464,2244,3125,2814,3583,2425,3470,3101,3214,The London Press Service websitehas been hosted on the UKTI Corporate web platform since April 2011.  Metrics for the London Press Service were only activated during May 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.dh.gov.uk/personalhealthbudgets,Personal Health Budgets,1036,806,956,1505,885,938,1771,1819,988,1217,2560,1752,16233,1896,1725,1898,2962,1942,1829,3149,3240,1702,2280,4188,3141,A few workarounds for certain browsers have been used which fail css validation. No automated or manual accessibility testing has been conducted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,FCO,www.gbcc.org.uk,Great Britain China Centre,1462,1611,1678,1445,1490,1735,2012,2061,1645,2103,2042,2156,21440,1852,2206,2111,1843,2080,2187,2794,2709,2031,2549,2652,2829,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.certoffice.org,Certification Officer,1434,1402,1525,1661,1682,1642,1690,1973,1396,1545,1550,1584,19084,2120,2072,2310,2642,2464,2234,2212,2688,1885,2252,2093,2288,"Low % for purpose of visit achieved appears to be largely explained by some visitors looking for information outside our jurisdiction/area of work.  Non staff costs are excluding VAT.  Testing and Evaluation costs were mandatory under COI Standard TG116.  However, we have been informed that this is no longer mandatory by Adam Balin, Digital (Cabinet Office), we are therefore not proposing to have our website audited next year.  CSS compliance test run, 7 errors reported.  Currently looking at ways to become fully compliant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
