"title","description","organisation_political","organisation_type","organisation_featuring_priority","potential_service","potential_service_link"
"Office for Artificial Intelligence","The Office for Artificial Intelligence is a joint BEIS-DCMS unit responsible for overseeing implementation of the National AI Strategy Office for Artificial Intelligence is part of the Department for Digital, Culture, Media & Sport and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","National AI Strategy","https://www.gov.uk/government/publications/national-ai-strategy"
"Office for Artificial Intelligence","The Office for Artificial Intelligence is a joint BEIS-DCMS unit responsible for overseeing implementation of the National AI Strategy Office for Artificial Intelligence is part of the Department for Digital, Culture, Media & Sport and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Office for AI newsletter","https://mclist.us20.list-manage.com/subscribe/post?u=9136950708d799df12c0cfd4b&amp;id=513688bb2a"
"Office for Health Improvement and Disparities","We focus on improving the nation’s health so that everyone can expect to live more of life in good health, and on levelling up health disparities to break the link between background and prospects for a healthy life. OHID is part of the Department of Health and Social Care .",FALSE,"sub_organisation","news","no_featured_links",NA
"Office for Investment","The Office for Investment is a joint Department for International Trade and Number 10 unit which works across government to land top-tier investment into the UK. OfI is part of the Department for International Trade .",FALSE,"sub_organisation","news","UK Investment Atlas","https://www.great.gov.uk/international/investment/"
"Office for Life Sciences","The Office for Life Sciences champions research, innovation and the use of technology to transform health and care service. OLS is part of the Department of Health and Social Care and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Exporting is GREAT","http://www.exportingisgreat.gov.uk/"
"Office for Life Sciences","The Office for Life Sciences champions research, innovation and the use of technology to transform health and care service. OLS is part of the Department of Health and Social Care and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Life Sciences Organisation","https://www.gov.uk/government/organisations/life-sciences-organisation"
"Office for Life Sciences","The Office for Life Sciences champions research, innovation and the use of technology to transform health and care service. OLS is part of the Department of Health and Social Care and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Healthcare UK","https://www.gov.uk/government/organisations/healthcare-uk"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Consumer product safety: advice for staying safe","https://www.gov.uk/guidance/consumer-product-safety-advice-for-staying-safe"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Business regulation: guidance and tools","https://www.gov.uk/guidance/business-regulation-guidance-and-tools"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Product safety for businesses: A to Z of industry guidance","https://www.gov.uk/guidance/product-safety-for-businesses-a-to-z-of-industry-guidance"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","National regulation: enforcement services","https://www.gov.uk/guidance/national-regulation-enforcement-services"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","National regulation: construction products","https://www.gov.uk/government/news/national-regulation-construction-products"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Local regulation: Primary Authority","https://www.gov.uk/guidance/local-regulation-primary-authority"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Regulators: professional guidance and tools","https://www.gov.uk/guidance/regulators-professional-guidance-and-tools"
"Office for Product Safety and Standards","Our purpose is to make regulation work, so that it protects people and enables businesses to understand their obligations. Office for Product Safety and Standards is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Product safety research","https://www.gov.uk/government/collections/product-safety-research"
"Office for Veterans' Affairs","We lead UK Government efforts to make sure the United Kingdom is the best place to be a veteran anywhere in the world, helping the nation fulfil its lifelong duty to those who have served in the Armed Forces. OVA is part of the Cabinet Office .",FALSE,"sub_organisation","news","Support services for veterans and their families","https://www.gov.uk/government/news/support-for-veterans"
"Office for Veterans' Affairs","We lead UK Government efforts to make sure the United Kingdom is the best place to be a veteran anywhere in the world, helping the nation fulfil its lifelong duty to those who have served in the Armed Forces. OVA is part of the Cabinet Office .",FALSE,"sub_organisation","news","Veterans UK","https://www.gov.uk/government/organisations/veterans-uk"
"Office for Veterans' Affairs","We lead UK Government efforts to make sure the United Kingdom is the best place to be a veteran anywhere in the world, helping the nation fulfil its lifelong duty to those who have served in the Armed Forces. OVA is part of the Cabinet Office .",FALSE,"sub_organisation","news","Armed Forces Covenant","https://www.armedforcescovenant.gov.uk/"
"Office for Veterans' Affairs","We lead UK Government efforts to make sure the United Kingdom is the best place to be a veteran anywhere in the world, helping the nation fulfil its lifelong duty to those who have served in the Armed Forces. OVA is part of the Cabinet Office .",FALSE,"sub_organisation","news","Ministry of Defence","https://www.gov.uk/government/organisations/ministry-of-defence"
"Office for Zero Emission Vehicles","The Office for Zero Emission Vehicles (OZEV) is a team working across government to support the transition to zero emission vehicles (ZEVs). We are providing support for the take-up of plug in vehicles, as well as funding to support chargepoint infrastructure across the UK. This will contribute to economic growth and will help reduce greenhouse gas emissions and air pollution on our roads. OZEV is part of the Department for Transport and the Department for Business, Energy & Industrial Strategy .",TRUE,"sub_organisation","service","Grant schemes for electric vehicle charging infrastructure","https://www.gov.uk/government/collections/government-grants-for-low-emission-vehicles"
"Office for the Internal Market","The OIM’s objective is to support the effective operation of the UK Internal Market. It assesses whether the Internal Market is operating effectively and provides expert and independent advice to UK government and devolved administrations. OIM is part of the Competition and Markets Authority .",FALSE,"sub_organisation","news","Office for the Internal Market project finder","https://www.gov.uk/oim-projects"
"Office for the Internal Market","The OIM’s objective is to support the effective operation of the UK Internal Market. It assesses whether the Internal Market is operating effectively and provides expert and independent advice to UK government and devolved administrations. OIM is part of the Competition and Markets Authority .",FALSE,"sub_organisation","news","Report an issue with the UK’s Internal Market","https://www.gov.uk/guidance/report-a-uk-internal-market-issue"
"Office of Financial Sanctions Implementation","The Office of Financial Sanctions Implementation (OFSI) helps to ensure that financial sanctions are properly understood, implemented and enforced in the United Kingdom. OFSI is part of HM Treasury .",FALSE,"sub_organisation","news","Who is subject to financial sanctions in the UK?","https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets"
"Office of Financial Sanctions Implementation","The Office of Financial Sanctions Implementation (OFSI) helps to ensure that financial sanctions are properly understood, implemented and enforced in the United Kingdom. OFSI is part of HM Treasury .",FALSE,"sub_organisation","news","Financial sanctions guidance","https://www.gov.uk/government/publications/financial-sanctions-faqs"
"Office of Financial Sanctions Implementation","The Office of Financial Sanctions Implementation (OFSI) helps to ensure that financial sanctions are properly understood, implemented and enforced in the United Kingdom. OFSI is part of HM Treasury .",FALSE,"sub_organisation","news","How to apply for a licence","https://www.gov.uk/guidance/licences-that-allow-activity-prohibited-by-financial-sanctions"
"Office of Financial Sanctions Implementation","The Office of Financial Sanctions Implementation (OFSI) helps to ensure that financial sanctions are properly understood, implemented and enforced in the United Kingdom. OFSI is part of HM Treasury .",FALSE,"sub_organisation","news","Report a financial sanctions breach","https://www.gov.uk/guidance/suspected-breach-of-financial-sanctions-what-to-do"
"Office of Financial Sanctions Implementation","The Office of Financial Sanctions Implementation (OFSI) helps to ensure that financial sanctions are properly understood, implemented and enforced in the United Kingdom. OFSI is part of HM Treasury .",FALSE,"sub_organisation","news","Subscribe to our free e-mail alerts","https://public.govdelivery.com/accounts/UKHMTREAS/subscriber/new"
"Office of the Parliamentary Counsel","The Office of the Parliamentary Counsel is a group of government lawyers who specialise in drafting legislation. We work closely with departments to translate policy into clear, effective and readable law. Our role will often begin when legislation is first being considered and we will remain involved throughout the Parliamentary process and beyond. OPC is part of the Cabinet Office .",FALSE,"sub_organisation","service","About OPC","https://www.gov.uk/government/organisations/office-of-the-parliamentary-counsel/about"
"Office of the Parliamentary Counsel","The Office of the Parliamentary Counsel is a group of government lawyers who specialise in drafting legislation. We work closely with departments to translate policy into clear, effective and readable law. Our role will often begin when legislation is first being considered and we will remain involved throughout the Parliamentary process and beyond. OPC is part of the Cabinet Office .",FALSE,"sub_organisation","service","Working for OPC","https://www.gov.uk/government/organisations/office-of-the-parliamentary-counsel/about/recruitment"
"Office of the Parliamentary Counsel","The Office of the Parliamentary Counsel is a group of government lawyers who specialise in drafting legislation. We work closely with departments to translate policy into clear, effective and readable law. Our role will often begin when legislation is first being considered and we will remain involved throughout the Parliamentary process and beyond. OPC is part of the Cabinet Office .",FALSE,"sub_organisation","service","OPC publications","https://www.gov.uk/government/publications?departments%5B%5D=office-of-the-parliamentary-counsel"
"Offshore Petroleum Regulator for Environment and Decommissioning","We’re responsible for regulating environmental and decommissioning activity for offshore oil and gas operations, including carbon capture and storage operations, on the UK continental shelf. OPRED is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","no_featured_links",NA
"Open Public Services","Open Public Services (OPS) is the government’s reform programme for public services. We work with people across government, local government, the private sector and civil society to make sure that everyone has access to the best possible public services. OPS is part of the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Operational Delivery Profession","We support civil servants who run the front line services that citizens use, such as processing visas, passports and driving licences. Operational Delivery Profession is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Open Innovation Team","We work with experts to generate analysis and ideas for policy.",FALSE,"civil_service","service","Working with the Open Innovation Team","https://www.gov.uk/guidance/working-with-the-open-innovation-team"
"Open Innovation Team","We work with experts to generate analysis and ideas for policy.",FALSE,"civil_service","service","Policy impact","https://www.gov.uk/government/news/impact-in-policy-making"
"Open Innovation Team","We work with experts to generate analysis and ideas for policy.",FALSE,"civil_service","service","Our services","https://www.gov.uk/guidance/our-services"
"Open Innovation Team","We work with experts to generate analysis and ideas for policy.",FALSE,"civil_service","service","Policy training for academics","https://www.gov.uk/guidance/policy-training-for-academics"
"Preventing Sexual Violence in Conflict Initiative","The Preventing Sexual Violence in Conflict Initiative (PSVI) aims to raise awareness of the extent of sexual violence against women, men, girls and boys in situations of armed conflict and rally global action to end it. PSVI is part of the Foreign, Commonwealth & Development Office .",FALSE,"sub_organisation","news","Training: using the International Protocol","https://www.gov.uk/government/collections/international-protocol-on-the-documentation-and-investigation-of-sexual-violence-in-conflict-training-materials"
"Preventing Sexual Violence in Conflict Initiative","The Preventing Sexual Violence in Conflict Initiative (PSVI) aims to raise awareness of the extent of sexual violence against women, men, girls and boys in situations of armed conflict and rally global action to end it. PSVI is part of the Foreign, Commonwealth & Development Office .",FALSE,"sub_organisation","news","PSVI library of resources","https://www.gov.uk/guidance/psvi-library"
"Preventing Sexual Violence in Conflict Initiative","The Preventing Sexual Violence in Conflict Initiative (PSVI) aims to raise awareness of the extent of sexual violence against women, men, girls and boys in situations of armed conflict and rally global action to end it. PSVI is part of the Foreign, Commonwealth & Development Office .",FALSE,"sub_organisation","news","PSVI partners","https://www.gov.uk/guidance/psvi-partners"
"Preventing Sexual Violence in Conflict Initiative","The Preventing Sexual Violence in Conflict Initiative (PSVI) aims to raise awareness of the extent of sexual violence against women, men, girls and boys in situations of armed conflict and rally global action to end it. PSVI is part of the Foreign, Commonwealth & Development Office .",FALSE,"sub_organisation","news","Working with Parliament","https://www.gov.uk/guidance/psvi-working-with-parliament"
"Project Delivery Profession","“A project can’t be delivered by just one person. We need to build strong, flexible, professional and capable teams.” - Nick Smallwood (Head of Project Delivery Function) Project Delivery Profession is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Public Sector Fraud Authority","The Public Sector Fraud Authority works with departments and public bodies to understand and reduce the impact of fraud. PSFA is part of the Cabinet Office and HM Treasury .",FALSE,"sub_organisation","news","About Us","https://www.gov.uk/government/organisations/public-sector-fraud-authority/about"
"Public Sector Fraud Authority","The Public Sector Fraud Authority works with departments and public bodies to understand and reduce the impact of fraud. PSFA is part of the Cabinet Office and HM Treasury .",FALSE,"sub_organisation","news","Government Counter Fraud Function","https://www.gov.uk/government/groups/counter-fraud-standards-and-profession"
"Public Sector Fraud Authority","The Public Sector Fraud Authority works with departments and public bodies to understand and reduce the impact of fraud. PSFA is part of the Cabinet Office and HM Treasury .",FALSE,"sub_organisation","news","Government Counter Fraud Profession","https://www.gov.uk/government/groups/counter-fraud-standards-and-profession#government-counter-fraud-function"
"Public Sector Fraud Authority","The Public Sector Fraud Authority works with departments and public bodies to understand and reduce the impact of fraud. PSFA is part of the Cabinet Office and HM Treasury .",FALSE,"sub_organisation","news","National Fraud Initiative (NFI)","https://www.gov.uk/government/collections/national-fraud-initiative"
"Regional Department for Education (DfE) Directors ","Regional directors work locally across children’s social care, SEND, schools and area-based programmes to improve outcomes for children, families and learners. Regional Department for Education (DfE) Directors is part of the Department for Education .",FALSE,"sub_organisation","news","no_featured_links",NA
"Royal Marines Museum","The Royal Marines Museum (RMM) explores the history of the Royal Marines from their origins in 1664 as Sea Soldiers through to current day operations around the world. It tells stories of past and present marines with a vast collection of objects, paintings and archive documents, containing over 1 million photographs and documents, and 30,000 objects. RMM is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Royal Navy Submarine Museum","The Royal Navy Submarine Museum (RNSM) at Gosport traces the international history of submarine development, from the age of Alexander the Great to the present day, in particular the history of the Submarine Service from the tiny Holland 1 to the nuclear powered Vanguard class vessel. RNSM is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Rural Development Programme for England Network","We support the Rural Development Programme for England (RDPE), which works to make England’s agriculture and forestry sectors more competitive, to improve the quality of life in rural areas and to diversify rural economies. RDPE Network is part of the Department for Environment, Food & Rural Affairs .",FALSE,"sub_organisation","service","Rural grants and payments","https://www.gov.uk/farming-food-grants-payments/rural-grants-payments"
"Rural Development Programme for England Network","We support the Rural Development Programme for England (RDPE), which works to make England’s agriculture and forestry sectors more competitive, to improve the quality of life in rural areas and to diversify rural economies. RDPE Network is part of the Department for Environment, Food & Rural Affairs .",FALSE,"sub_organisation","service","Growth Programme: grants for the rural economy","https://www.gov.uk/government/collections/growth-programme-grants-for-the-rural-economy"
"Rural Development Programme for England Network","We support the Rural Development Programme for England (RDPE), which works to make England’s agriculture and forestry sectors more competitive, to improve the quality of life in rural areas and to diversify rural economies. RDPE Network is part of the Department for Environment, Food & Rural Affairs .",FALSE,"sub_organisation","service","RDPE programme document 2014 to 2020","https://www.gov.uk/government/publications/rdpe-programme-document-2014-to-2020"
"jHub Defence Innovation","We are UK Strategic Command’s innovation team, connecting world-class technology and talent with users across Defence. jHub Defence Innovation is part of the Ministry of Defence and the Strategic Command .",FALSE,"sub_organisation","news","no_featured_links",NA
"UK Council for Internet Safety","The UK Council for Internet Safety (UKCIS) is a collaborative forum through which government, the tech community and the third sector work together to ensure the UK is the safest place in the world to be online. UKCIS is part of the Department for Digital, Culture, Media & Sport , the Department for Education and the Home Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"UK Defence and Security Exports","We help the UK defence and security industries to export. UKDSE is part of the Department for International Trade .",FALSE,"sub_organisation","news","Find export opportunities","https://www.great.gov.uk/export-opportunities/"
"UK Defence and Security Exports","We help the UK defence and security industries to export. UKDSE is part of the Department for International Trade .",FALSE,"sub_organisation","news","Get help to sell your products/services","https://www.gov.uk/guidance/defence-and-security-exporting-guide"
"UK Defence and Security Exports","We help the UK defence and security industries to export. UKDSE is part of the Department for International Trade .",FALSE,"sub_organisation","news","Exhibition and event programme","https://www.gov.uk/government/publications/defence-and-security-exporting-event-and-exhibition-support/defence-and-security-exporting-event-and-exhibition-support#exhibition-event-calendar"
"UK National Authority for Counter-Eavesdropping","UK NACE is part of FCDO Services and works with fellow National Technical Authorities the Centre for the Protection of National Infrastructure and the National Cyber Security Centre. UK NACE is part of the FCDO Services .",FALSE,"sub_organisation","news","no_featured_links",NA
"UK National Contact Point","We are responsible for promoting the OECD guidelines for multinational enterprises on responsible business conduct and for operating the complaints mechanism set out in the guidelines. UK NCP is part of the Department for International Trade .",FALSE,"sub_organisation","news","Organisation for Economic Co-operation and Development (OECD) Guidelines for Responsible Business Conduct","http://www.oecd.org/investment/mne/"
"UK National Screening Committee","The UK National Screening Committee (UK NSC) advises ministers and the NHS in the 4 UK countries about all aspects of screening and supports implementation of screening programmes. UK NSC is part of the Department of Health and Social Care , the Welsh Government , The Scottish Government , and the Department of Health (Northern Ireland) .",FALSE,"sub_organisation","news","Population screening recommendations","https://view-health-screening-recommendations.service.gov.uk/"
"UK National Screening Committee","The UK National Screening Committee (UK NSC) advises ministers and the NHS in the 4 UK countries about all aspects of screening and supports implementation of screening programmes. UK NSC is part of the Department of Health and Social Care , the Welsh Government , The Scottish Government , and the Department of Health (Northern Ireland) .",FALSE,"sub_organisation","news","Screening programmes across the UK","https://www.gov.uk/guidance/screening-programmes-across-the-uk"
"UK National Screening Committee","The UK National Screening Committee (UK NSC) advises ministers and the NHS in the 4 UK countries about all aspects of screening and supports implementation of screening programmes. UK NSC is part of the Department of Health and Social Care , the Welsh Government , The Scottish Government , and the Department of Health (Northern Ireland) .",FALSE,"sub_organisation","news","Subscribe to UK NSC updates","https://view-health-screening-recommendations.service.gov.uk/subscribe"
"UK National Screening Committee","The UK National Screening Committee (UK NSC) advises ministers and the NHS in the 4 UK countries about all aspects of screening and supports implementation of screening programmes. UK NSC is part of the Department of Health and Social Care , the Welsh Government , The Scottish Government , and the Department of Health (Northern Ireland) .",FALSE,"sub_organisation","news","UK NSC blood spot task group","https://www.gov.uk/government/groups/uk-nsc-blood-spot-task-group-bstg"
"UK National Screening Committee","The UK National Screening Committee (UK NSC) advises ministers and the NHS in the 4 UK countries about all aspects of screening and supports implementation of screening programmes. UK NSC is part of the Department of Health and Social Care , the Welsh Government , The Scottish Government , and the Department of Health (Northern Ireland) .",FALSE,"sub_organisation","news","UK NSC processes and principles","https://www.gov.uk/government/collections/uk-nsc-processes-and-principles"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Ukrainian nationals - get UK visa support","https://www.gov.uk/guidance/support-for-family-members-of-british-nationals-in-ukraine-and-ukrainian-nationals-in-ukraine-and-the-uk"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Check if you need a UK visa","https://www.gov.uk/check-uk-visa"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Visit the UK","https://www.gov.uk/browse/visas-immigration/tourist-short-stay-visas"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Work in the UK or sponsor a worker","https://www.gov.uk/browse/visas-immigration/work-visas"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Study in the UK or sponsor a student","https://www.gov.uk/browse/visas-immigration/student-visas"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Join your UK, EU, or EEA family member in the UK","https://www.gov.uk/browse/visas-immigration/family-visas"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Live permanently in the UK and British Citizenship","https://www.gov.uk/browse/visas-immigration/settle-in-the-uk"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Apply to the EU Settlement Scheme","https://www.gov.uk/settled-status-eu-citizens-families"
"UK Visas and Immigration","UK Visas and Immigration is responsible for making millions of decisions every year about who has the right to visit or stay in the country, with a firm emphasis on national security and a culture of customer satisfaction for people who come here legally. UKVI is part of the Home Office .",FALSE,"sub_organisation","service","Visas and immigration operational guidance","https://www.gov.uk/topic/immigration-operational-guidance"
"United Kingdom Reserve Forces Association","The United Kingdom Reserve Forces Association (UKRFA) promotes the efficiency of the reserve forces by providing opportunities for education, personal development and international experiences. UKRFA is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Reserve Forces' and Cadets' Associations","https://www.gov.uk/government/organisations/reserve-forces-and-cadets-associations"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Applicant ","https://www.gov.uk/guidance/united-kingdom-security-vetting-applicant"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Sponsor","https://www.gov.uk/guidance/united-kingdom-security-vetting-sponsor"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Guidance documents for applicants","https://www.gov.uk/government/publications/dbs-national-security-vetting-solution-guidance-for-subjects"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Guidance documents for sponsors","https://www.gov.uk/government/publications/uksv-national-security-vetting-solution-portal-guidance-for-sponsors"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Decision Makers","https://www.gov.uk/guidance/united-kingdom-security-vetting-decision-maker"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Referees, Hiring Managers, Contractors and consultants ","https://www.gov.uk/guidance/united-kingdom-security-vettingreferees-hiring-managers-contractors-and-consultants"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","United Kingdom Security Vetting: Clearance Levels ","https://www.gov.uk/government/publications/united-kingdom-security-vetting-clearance-levels"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","National Security Vetting: forms and guidance ","https://www.gov.uk/government/collections/national-security-vetting"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Existing clearance holders","https://www.gov.uk/guidance/united-kingdom-security-vetting-existing-clearance-holders"
"United Kingdom Security Vetting","United Kingdom Security Vetting (UKSV) is the single government provider of National Security Vetting (NSV). We are the centre of excellence for security vetting and enable government to protect citizens and provide vital public services, by understanding and managing security risks. UKSV is part of the Cabinet Office .",FALSE,"sub_organisation","service","Vetting explained and our vetting charter","https://www.gov.uk/government/publications/vetting-explained-and-our-vetting-charter"
"Veterans UK","We provide free support for veterans and their families, including a helpline, Veterans Welfare Service, Defence Transition Services and injury/bereavement compensation scheme payments. Veterans UK is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Urgent Help For Veterans","https://www.gov.uk/guidance/urgent-help-for-veterans"
"Veterans UK","We provide free support for veterans and their families, including a helpline, Veterans Welfare Service, Defence Transition Services and injury/bereavement compensation scheme payments. Veterans UK is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Contact Veterans UK","https://www.gov.uk/guidance/veterans-uk-contact-us"
"Veterans UK","We provide free support for veterans and their families, including a helpline, Veterans Welfare Service, Defence Transition Services and injury/bereavement compensation scheme payments. Veterans UK is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Armed Forces Pensions","https://www.gov.uk/guidance/pensions-and-compensation-for-veterans"
"Veterans UK","We provide free support for veterans and their families, including a helpline, Veterans Welfare Service, Defence Transition Services and injury/bereavement compensation scheme payments. Veterans UK is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Medals and Badges","https://www.gov.uk/apply-medal-or-veterans-badge"
"Veterans UK","We provide free support for veterans and their families, including a helpline, Veterans Welfare Service, Defence Transition Services and injury/bereavement compensation scheme payments. Veterans UK is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Service Records","https://www.gov.uk/government/collections/requests-for-personal-data-and-service-records"
"Windrush Commemoration Committee","We’re a group commissioned by the Prime Minister to provide advice on how best to create a permanent and fitting tribute to the Windrush generation and their descendants. Windrush Commemoration Committee is part of the Department for Levelling Up, Housing and Communities .",FALSE,"sub_organisation","news","Watch the livestream of the unveiling ceremony of the National Windrush Monument at 11am on 22 June 2022","https://www.youtube.com/watch?v=sPtvf_VJmPo"
"Architects Registration Board","The Architects Registration Board (ARB) regulates the architects’ profession in the UK to ensure that good standards of conduct and practice are consistently maintained. ARB is a public corporation of the Department for Levelling Up, Housing and Communities .",FALSE,"public_corporation","news","no_featured_links",NA
"BBC","The BBC (British Broadcasting Corporation) is a British public service broadcaster. Its main responsibility is to provide impartial public service broadcasting in the UK, Channel Islands and Isle of Man. BBC is a public corporation of the Department for Digital, Culture, Media & Sport .",FALSE,"public_corporation","news","no_featured_links",NA
"BBC World Service","The BBC World Service (BBCWS) is the world’s leading international radio broadcaster, providing impartial news reports and analysis in English and 27 other languages. BBCWS is a public corporation of the Foreign, Commonwealth & Development Office .",FALSE,"public_corporation","news","no_featured_links",NA
"Channel 4","Channel 4 (C4) is public service broadcaster and works across television, film and digital media. In addition to the main Channel 4 service, its portfolio includes E4, More4, Film4 and 4Music, as well as online activities that includes channel4.com, Channel 4’s bespoke video-on-demand service 4oD and standalone digital projects. C4 is a public corporation of the Department for Digital, Culture, Media & Sport .",FALSE,"public_corporation","news","no_featured_links",NA
