,Abbr,Organisation,Body,service,Servicetype,URL,Servicedesc,Customertype,Businesmodel,Comments,201212,201212digital,201303,201303digital,201306,201306digital,201309,201309digital,201312,201312digital,201403,201403digital,201406,201406digital,201409,201409digital,201412,201412digital,201503,201503digital,201506,201506digital,201509,201509digital,201512,201512digital,201603,201603digital,201606,201606digital,201609,201609digital,201612,201612digital,201703,201703digital,max_observed
282,DHSC,Department of Health and Social Care,Medicines and Healthcare products Regulatory Agency,Reports of adverse drug reactions (including Yellow Card scheme) ,Providing information,http://yellowcard.mhra.gov.uk/,Data for Adverse Drug Event reporting by GPs public and manufacturers including website receipts and businesstobusiness transactions with pharmaceutical companies using the E2B standard.,Business,[not provided],,,,,,15680,9700,52809,,54430,,56226,,56759,,57962,,55817,,55777,,57486,,58919,,62005,,65558,,69083,,71786,,73913,,75722,,75722
289,DHSC,Department of Health and Social Care,Department of Health,Healthy Start vouchers: reimbursements,Requesting benefits payments or loans,http://www.healthystart.nhs.uk/,Data for payments for Healthy Start food vouchers which have been accepted by retailers.,Business,Taxpayers,,,,,,,,52615,,49732,,49267,,48023,,46702,,45697,,44494,,42881,,41122,,38222,,35305,,32365,,30290,,29784,,28636,,52615
114,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Bankruptcy and liquidation: payment requests,Requesting benefits payments or loans,https://www.gov.uk/government/publications/bankruptcy,Data for payment requests (CAU101 CAU105 and CAU109) received from Insolvency Practitioners.,Individuals,Taxpayers,,54000,,52542,,,,50478,0,36764,0,34673,0,34669,0,33512,0,32838,0,33352,0,33526,0,35274,0,38534,0,42168,0,41400,0,39227,0,37192,0,35491,0,54000
246,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Driving licence: provisional entitlements,Requesting a licence or consent,https://www.gov.uk/addinghighercategoriestoyourdrivinglicence,Data for adding provisional entitlement to drive vocational vehicles to a driving licence.,Individuals,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,,,,,46724,0,48465,0,52896,0,57177,0,61904,0,63513,0,65429,0,68192,0,71050,0,74589,0,77509,0,78901,0,79409,0,79533,0,78927,0,78216,0,79533
1,AGO,Attorney General's Office,Crown Prosecution Service,Witness expenses: reimbursements,Requesting benefits payments or loans,http://www.cps.gov.uk/legal/v_to_z/witnesses_expenses_and_allowances/,Data for reimbursements made to witnesses in court appearances to cover expenses and allowances.,Individuals,Taxpayers,,55432,,,,,,48362,,47561,,47041,,47186,0,46434,0,46750,0,46942,0,47147,0,47624,0,47099,0,46813,,45520,,44223,0,43176,0,41870,0,55432
166,Defra,Department for Environment Food and Rural Affairs,Animal and Plant Health Agency,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES): permits issued,Requesting a licence or consent,http://animalhealth.defra.gov.uk/cites/,Data for issues of CITES permits for the import/export of endangered species for commercial gain.,Business,Taxpayers,,40000,,,,,,47328,0,45526,,45216,0,47175,0,45674,0,48841,0,49037,0,47904,,47628,0,45357,0,46880,0,50976,0,50950,0,52304,0,49458,0,52304
115,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Registrations and updates of Individual Voluntary Arrangements (IVAs).,Registering,https://www.gov.uk/government/organisations/insolvencyservice,Data for registrations and updates of Individual Voluntary Arrangements (IVAs) between a debtor and creditors.,Individuals,Taxpayers,,63312,,46674,,,,45910,0,47606,0,49971,0,51561,0,53921,0,53700,0,52190,0,49199,0,56209,0,66936,0,76685,0,86604,0,89544,0,91832,0,94300,0,94300
416,Home Office,Home Office,Home Office,Registrations of children as British citizens,Requesting a licence or consent,https://www.gov.uk/government/publications/applicationtoregisterchildunder18asbritishcitizenformmn1,Data for applications to register children related to a British citizen or for registration on a discretionary basis.,Individuals,[not provided],Citizenship data table table cz_02_q: https://www.gov.uk/government/publications/tablesforimmigrationstatisticsoctobertodecember2013 ,,,,,42964,,45781,,44475,0,44275,0,43417,0,37914,0,32173,0,32298,0,31078,0,27691,0,30385,0,28796,0,32581,0,36651,0,38544,0,36941,0,45781
440,MoJ,Ministry of Justice,Criminal Injuries Compensation Authority,Applications for criminal injuries compensation,Providing information,https://www.gov.uk/claimcompensationcriminalinjury,Data for compensation claims for injuries from criminal attacks in England Wales or Scotland.,Individuals,Taxpayers,Figures are estimates. <br>Source data: Criminal Injuries Compensation Authority Annual Report and Accounts 201213 p9. http://www.justice.gov.uk/downloads/publications/corporatereports/cica/cicaannualreport201213.pdf. Figures from October 2016 to September 2017 are based on actual number of applications received and responses to requests for additional information.,58000,,58000,,48000,,42656,22909,38528,25610,34317,26701,33687,27764,33670,28651,33161,28782,32837,,32595,,32441,,32758,,32509,,32415,,,,,,,,58000
351,DWP,Department for Work and Pensions,Department for Work and Pensions,Bereavement Payment: applications,Requesting benefits payments or loans,https://www.gov.uk/bereavementpayment/overview,Data for applications for Bereavement Payment.,Individuals,Taxpayers,The number of transactions per quarter is no longer available.,42000,0,43000,,42000,,42000,0,42000,,42000,0,42000,0,,0,,,,0,,,,,,,,,,0,,0,,0,,0,43000
372,DWP,Department for Work and Pensions,Department for Work and Pensions,Widowed Parent's Allowance and Bereavement Allowance: existing claims,Requesting benefits payments or loans,https://www.gov.uk/widowedparentsallowance,Data for existing claimants of Widowed Parent's Allowance and Bereavement Allowance.,Individuals,Taxpayers,The number of transactions per quarter is no longer available.,38000,0,39000,,39000,,39000,0,39000,0,39000,0,39000,0,,0,,,,,,,,,,0,,,,0,,0,,,,,39000
162,Defra,Department for Environment Food and Rural Affairs,Rural Payments Agency,CAP import and export licences,Requesting a licence or consent,,Data for CAP import and export licences.,Business,Taxpayers,,26000,,,,32200,,37867,,40005,,40947,,40737,,42640,,43623,,44444,,47450,,49147,,69584,,72057,,71633,,70772,,53270,,53585,,72057
204,Defra,Department for Environment Food and Rural Affairs,Rural Payments Agency,Land Management System: amendments,Registering,,Data for parcel level amendments to agricultural land on the Rural Land Register,Business,Taxpayers,,,,,,32100,,37554,,36736,,50796,,57151,,66316,,80001,,80456,,122109,,103474,,88500,,124991,,220169,,358201,,428758,,537962,,537962
436,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Insolvency petitions,Providing information,https://www.gov.uk/creditorbankruptcypetitions,Data for petitions to wind up a company or file for bankruptcy if the company or individual is unable to pay their debts.,Business,Taxpayers,,50000,,50000,,50000,,34531,0,32281,0,30508,0,29301,0,27801,,26588,,25418,,23751,,22359,,21225,,19984,,18895,,15719,,12473,,9963,,50000
70,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Bankruptcy and liquidation: tax and National Insurance disclosure (TNIDIS) forms issued,Requesting a licence or consent,https://www.gov.uk/government/organisations/insolvencyservice,Data for issues of the TNIDIS form that authorises the payment to the official receiver (or trustee) any applicable income tax refunds.,Business,Taxpayers,,30000,0,29190,0,,,31710,0,26071,0,24571,0,23579,0,22551,0,21442,0,20242,0,18965,0,17483,0,16477,0,15828,0,15132,0,14850,0,14881,0,14939,0,31710
380,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Emergency travel document applications,Requesting a licence or consent,https://www.gov.uk/emergencytraveldocument,Data for applications for a document that lets you leave another country if you can’t get a new or replacement British passport in time to travel.,Individuals,Fees and charges,,,,,,,,28076,,28636,,27425,,28697,,34289,,37444,,37805,0,36556,0,31929,0,29486,0,29583,0,30112,0,,,,,,,37805
208,Defra,Department for Environment Food and Rural Affairs,Environment Agency,Registrations to use or store boats,Requesting a licence or consent,https://www.gov.uk/registeraboat,Data for registrations for using or storing boats on waterways managed by the Environment Agency. ,Individuals,Fees and charges,All transactions are carried out by post email or phone.,12500,0,,,,,23240,0,23794,,24220,,24287,,24740,,24278,,23731,,24359,,24196,,24567,,25291,,24880,,24073,,24153,,23580,,25291
442,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Domestic violence injunctions,Requesting a licence or consent,http://www.justice.gov.uk/legalaid/areasofwork/crime/policestations/domesticviolenceprotectionorders,Data for court orders to protect someone from domestic violence.,Individuals,Taxpayers,,21000,,21000,,21000,,22004,0,22977,0,23882,0,24363,0,24736,,24722,,24488,,24079,,23724,,23311,,23252,,23285,,23622,,23713,,23775,,24736
301,DHSC,Department of Health and Social Care,Medicines and Healthcare products Regulatory Agency,Medicines and Healthcare Regulatory Agency (MHRA) licence: variations,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to the Medicines and Healthcare products Regulatory Agency for licence variations.,Business,[not provided],,,,,,34000,16772,21924,,21169,,19520,,19813,,18736,,17976,,17969,,16500,,19252,,21225,,23258,,24505,,23716,,22402,,21556,,34000
412,Home Office,Home Office,Home Office,Home Office travel documents for nonBritish citizens,Requesting a licence or consent,,Data for applications for a document to travel outside the UK for people who aren't British and cannot get a passport from their country.,Individuals,[not provided],All applications are postal. This figure includes applications and bio metric renewals.,,,,,20217,,21321,,22071,0,22572,0,22996,0,22836,0,23911,0,25144,0,27465,0,30582,0,32237,0,33280,0,33706,0,32928,0,32370,0,32341,0,33706
375,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Applications for Chevening Scholarships,Requesting benefits payments or loans,http://www.chevening.org/apply/,Data for applications (successful or otherwise) from overseas students for funding to take postgraduate courses in the UK.,Individuals,Taxpayers,,26000,25000,21000,21000,20842,,20928,,22140,,29512,,24774,,27620,,36800,,36800,,39700,,,,,,,,,,,,,,,,39700
257,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Export a vehicle,Providing information,https://www.gov.uk/takingvehiclesoutofuk,Data for exports of vehicles to another country.,Individuals,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,,,,,21499,0,19066,0,18438,,18624,,18178,0,66130,0,139900,0,207895,0,270881,0,309884,0,317039,0,314871,0,319954,0,305920,0,313385,0,340906,0,340906
373,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Academic Technology Approval Scheme (ATAS) applications,Providing information,https://www.gov.uk/academictechnologyapprovalscheme,Data for checks carried out under the Academic Technology Approval Scheme.,Business,Taxpayers,,15364,,17000,17000,16891,,18184,,18333,,18545,,19037,,20513,,20810,,20614,,20417,,19933,,19463,,19498,,19601,,,,,,,,20810
443,MoJ,Ministry of Justice,Office of the Public Guardian,Applications for Enduring Power of Attorney,Requesting a licence or consent,https://www.gov.uk/government/publications/registeranenduringpowerofattorney,Data for applications for the document that preceded the introduction of lasting powers of attorney in 2007.,Individuals,Fees and charges,,18000,,18000,,18000,,17598,0,15666,0,14916,0,14610,0,14048,0,13907,0,14227,0,14465,0,14858,0,14813,,14343,0,13792,0,13411,0,13121,0,12557,0,18000
390,HMRC,HM Revenue and Customs,HM Revenue and Customs,Anti Money Laundering Supervision: registrations,Providing information,,Data for new registrations for auditors external accountants and tax advisers; also fit and proper transactions renewals and deregistrations.,Business,Taxpayers,Money Laundering transactions include new registrations ift and proper (F&P) transactions renewals by cheque deregistrations and change of circumstances. ,,,,,,,17263,0,22376,0,20847,0,19963,0,33432,0,36578,0,39377,,42308,,35054,,35165,,34386,,36217,,33960,0,32228,0,30474,0,42308
29,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Bankruptcy and liquidation: deposits of unclaimed money,Providing information,https://www.gov.uk/government/organisations/insolvencyservice,Data for deposits of unclaimed money on voluntary and administration cases (CAU103 and CAU104) when creditors haven't cashed cheques issued.,Business,Taxpayers,,720,,720,0,,,16965,0,1544,0,1208,0,1055,0,1074,0,1091,0,1055,0,1176,0,1077,0,1074,0,1031,0,1052,0,1070,0,1020,0,1112,0,16965
117,CO,Cabinet Office,Government Digital Service,Epetitions created,Providing information,https://www.gov.uk/petitiongovernment,Data for epetitions created.,Individuals,Taxpayers,,36000,36000,17150,17150,15550,15550,16656,16656,15841,15841,14915,14915,15331,15331,14761,14761,14814,14814,14984,14984,13192,13192,9419,9419,,,,,,,,,,,,,36000
0,AGO,Attorney General's Office,Treasury Solicitor's Department,Trusts and estates: referrals of estates and company assets (bona vacantia),Providing information,https://www.gov.uk/unclaimedestatesbonavacantia,Data for referrals to the bona vacantia division of the Treasury Solicitor's Office.,Business,Taxpayers,,40000,,,,,,16383,863,18097,781,19809,,20667,,22288,,20548,,,,,,,,,,,,,,,,,,,,40000
296,DHSC,Department of Health and Social Care,Medicines and Healthcare products Regulatory Agency,Medicines and Healthcare Regulatory Agency (MHRA) licence: information updates,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for updates to licences submitted from the pharmaceutical industry to the Medicines and Healthcare products Regulatory Agency.,Business,[not provided],,,,,,18000,8921,15406,,13549,,11704,,7206,,7790,,7827,,7714,,7932,,8250,,8189,,7491,,7329,,6499,,6224,,5728,,18000
167,Defra,Department for Environment Food and Rural Affairs,Rural Payments Agency,Customer registrations for County Parish Holding allocations,Requesting a licence or consent,,Data for customer registrations for County Parish Holding allocations.,Business,Taxpayers,,17650,,,,14500,,14931,,15386,,16297,,18473,,19859,,21380,,22165,,27244,,22787,,19995,,17437,,8507,,9407,,9174,,8997,,27244
407,Home Office,Home Office,Home Office,Controlled drugs and precursor chemicals: import and export licences,Requesting a licence or consent,http://www.homeoffice.gov.uk/drugs/licensing/nds/,Data for applications submitted and paper licences issued.,Business,Taxpayers,,14000,0,14000,0,14000,0,14000,0,14000,0,14000,0,14000,0,14000,0,14000,0,14000,0,15883,0,18057,0,19862,0,21404,0,21421,0,21677,0,21911,0,22073,0,22073
377,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Certificates of no impediment to marriage abroad,Requesting a licence or consent,,Data for applications for certificates of no impediment or certificat de coutume.,Individuals,Fees and charges,,,,,,,,13825,,12958,,12354,,11519,,8769,,7118,,6180,0,4953,0,4609,0,4290,0,4000,0,4245,0,,,,,,,13825
229,DFID,Department for International Development,Department for International Development,Commonwealth Scholarship Commission: applications for scholarships and fellowships,Requesting benefits payments or loans,http://cscuk.dfid.gov.uk/apply/eas/,Data for applications for scholarships and fellowships for postgraduate study in the UK from citiens of other Commonwealth countries.,Individuals,Taxpayers,,700,,,,14000,,13574,,13689,0,14898,0,20192,0,19895,,19805,0,19148,0,20257,0,20271,0,20626,0,22915,0,21435,0,24996,0,25298,0,25447,0,25447
276,DHSC,Department of Health and Social Care,Medicines and Healthcare products Regulatory Agency,Adverse incident reports involving medical devices,Providing information,http://www.mhra.gov.uk/Safetyinformation/Reportingsafetyproblems/Devices/index.htm,Data for reporting of adverse incidents involving medical devices by healthcare professionals manufacturers and members of the public.,Business and individuals,[not provided],,,,,,13185,5680,13249,,13533,,13648,,13938,,14255,,14360,,14557,,14831,,15416,,16165,,17010,,17640,,17614,,17449,,17498,,17640
420,Home Office,Home Office,HM Passport Office,Corrections to registers of births marriages and deaths,Amending/deleting information,,Data for autorisations of corrections to birth death marriage civil partnership or stillbirth registrations.,Individuals,Taxpayers,,9500,0,10864,0,9800,0,12616,0,12343,0,12214,0,11708,0,11560,0,11591,0,11560,0,13421,0,15377,0,17343,0,18997,0,18022,0,16583,0,15032,0,13593,0,18997
128,DCMS,Department for Culture Media and Sport,Gambling Commission,Online lottery submissions,Providing information,http://www.gamblingcommission.gov.uk/Gamblingsectors/Lotteries/Operatinglicenceholders/Informationthatmustbeprovided/Lotterysubmissions.aspx,Data for online lottery submissions to the Gambling Commission.,Business,[not provided],,,,,,,,12531,12088,12723,12364,12828,12508,12873,12560,12916,12665,12836,12608,,,,,,,,,,,,,,,,,,,12916
417,Home Office,Home Office,Home Office,Asylum support: section 95 applications,Requesting benefits payments or loans,,Data for applications for support for asylum applicants who are homeless or without money to live.,Individuals,Taxpayers,,15000,0,11749,0,11868,0,12353,0,12750,0,13066,0,13428,0,13922,0,14822,0,16306,0,16730,0,17117,0,20005,0,21965,0,23140,0,24274,0,21332,0,18473,0,24274
383,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular services: online requests for appointments,Booking events and resources,,Data for requests for appointments at consular offices.,Individuals,Fees and charges,Figures are for the digital service only.,,,,,,,12278,12278,17074,17074,18078,18078,17973,,12573,,7930,7930,5033,,7739,,19759,,34848,,46445,,53028,,,,,,,,53028
243,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Vehicle trade licence applications,Requesting a licence or consent,https://www.gov.uk/tradelicenceplates,Data for applications for a trade licence from DVLA to hold vehicles in temporary possession.,Business,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,,,,,3442,0,10212,0,10337,,86442,,110389,103584,107076,97536,110391,96347,39169,21037,19991,0,21076,0,19581,0,16308,0,13585,0,12790,0,12527,0,12350,0,110391
437,MoJ,Ministry of Justice,National Offender Management Service,Community Payback nominations,Providing information,https://www.gov.uk/nominatecommunitypaybackproject,Data for suggestions from the public for work programmes for convicted offenders carrying out unpaid work ('community service').,Individuals,Taxpayers,Requests are mostly received by 35 independent probation trusts in England and Wales. The data is incomplete so the total number of nominations will be slightly higher.,12400,,12000,,10000,,10000,,10000,,10000,,7332,110,,,,,,,,,,,,,,,,,,,,,,,12400
48,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Preliminary information questionnaire for bankrupts and company officers,Providing information,https://www.gov.uk/government/organisations/insolvencyservice,Data for preliminary information questionnaires for bankrupts (PIQB) and company officers (PIQC).,Business,Taxpayers,,14000,,13622,,,,9725,0,9469,0,9001,0,9063,0,8913,0,11430,0,11213,0,10887,0,10424,0,7296,0,7276,0,7196,0,6980,0,6771,0,6798,0,14000
189,Defra,Department for Environment Food and Rural Affairs,Marine Management Organisation,Licences to fish and sell fish ,Requesting a licence or consent,,Data for licences to fish and sell fish commercially.,Business,Fees and charges,,,,72000,,,,9539,,6544,,6811,,7533,,8577,,10824,,9024,,6893,51,4401,,1051,,1267,,1462,,1500,,3217,,3598,,72000
418,Home Office,Home Office,Home Office,Asylum support: section 4 applications,Requesting benefits payments or loans,,Data for applications from people with Temporary Admission those released from immigration detention and those on immigration bail if they are homeless and might otherwise be detained. ,Individuals,Taxpayers,,,,7151,,7249,,7604,,7575,0,7484,0,7503,0,7288,0,7140,0,6993,0,6848,0,6957,0,6910,0,6809,0,6383,0,6065,0,5826,0,5916,0,7604
394,HMT,HM Treasury,Financial Conduct Authority,Applications for a new consumer credit licence,Requesting a licence or consent,,Data for applications for a new consumer credit licence.,Business,Taxpayers,The Office of Fair Trading was responsible for protecting consumer interests throughout the UK until it closed on 1 April 2014. Responsibility for Consumer Credit licensing and Money Laundering supervision now lies with the Financial Conduct Authority and HMRC.,6750,,6977,,7349,,7570,,7649,,7836,,8464,,,,,,,,,,,,,,,,,,,,,,,,8464
113,BEIS,Department for Business Energy and Industrial Strategy,Department for Business Energy and Industrial Strategy,Environmental and Emissions Monitoring: submissions of returns by industry,Providing information,https://www.og.decc.gov.uk/portal.htm,Data for submissions by industry of Environmental and Emissions Monitoring returns.,Business,Taxpayers,,4536,,7263,7263,7417,,7515,,7680,,7724,,7636,,7705,,7635,,7691,,7937,,,,,,8613,,,,,,,,,,8613
207,Defra,Department for Environment Food and Rural Affairs,Animal and Plant Health Agency,Animal transporter authorisations,Requesting a licence or consent,http://www.defra.gov.uk/foodfarm/animals/welfare/transport/transporterauthorisation/,Data for authorisations to tranport live animals.,Business,Taxpayers,,33000,,,,,,7484,0,7290,,4474,0,2976,0,1872,0,1505,0,1531,0,1562,0,1672,0,1720,0,1653,,1588,,1722,0,1494,0,1497,0,33000
33,BEIS,Department for Business Energy and Industrial Strategy,Insolvency Service,Income Payments Agreements and Income Payment Orders,Providing information,https://www.gov.uk/government/organisations/insolvencyservice,Data for Income Payment Agreements between the bankrupt and the official receiver or trustee or in cases of no agreement IPOs.,Business,Taxpayers,,5000,,4588,,,,6724,0,5361,0,4804,0,4554,0,4295,0,4039,0,3808,0,3486,0,3264,0,2935,0,2688,0,2579,0,2537,0,2594,0,2652,0,6724
50,BEIS,Department for Business Energy and Industrial Strategy,Intellectual Property Office,Requests for a certified copy of a trade mark,Requesting information,https://www.gov.uk/government/publications/trademarkformsandfees,Data for requests for a certified copy of a trade mark or trade mark application (TM31R).,Business,Fees and charges,,,,,,6720,0,6523,,6599,0,6408,0,6484,0,6475,0,5723,0,5114,0,4048,0,4190,0,4255,0,4044,0,4054,0,3822,0,3844,0,3920,0,6720
398,HMT,HM Treasury,Financial Conduct Authority,Notifications of changes to an existing consumer credit licence,Requesting a licence or consent,,Data for notifications of changes to an existing consumer credit licence.,Business,Taxpayers,The Office of Fair Trading was responsible for protecting consumer interests throughout the UK until it closed on 1 April 2014. Responsibility for Consumer Credit licensing and Money Laundering supervision now lies with the Financial Conduct Authority and HMRC.,6500,,6237,,6098,,6435,,9855,,10811,,11251,,,,,,,,,,,,,,,,,,,,,,,,11251
238,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Amend trade licence,Providing information,https://www.gov.uk/tradelicenceplates,Data for applications for a replacement or otherwise changing a trade licence.,Business,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,,,,,6150,0,6417,0,5172,,2695,,368,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,2636,0,4064,0,5380,0,6417
396,HMT,HM Treasury,Financial Conduct Authority,Applications to renew an existing consumer credit licence,Requesting a licence or consent,,Data for applications to renew an existing consumer credit licence.,Business,Taxpayers,The Office of Fair Trading was responsible for protecting consumer interests throughout the UK until it closed on 1 April 2014. Responsibility for Consumer Credit licensing and Money Laundering supervision now lies with the Financial Conduct Authority and HMRC.,5250,,6715,,7016,,6395,,4569,,1986,,317,,,,,,,,,,,,,,,,,,,,,,,,7016
241,DfT,Department for Transport,Driver and Vehicle Standards Agency,Applications to be an HGV/PSV operator,Requesting a licence or consent,,Data for applications to be an HGV/PSV operator.,Business,Fees and charges,,7000,,6000,0,3000,,6234,0,6253,,6271,,6407,0,6273,0,6311,0,6325,0,6375,0,6488,0,6442,,6390,0,6301,0,6364,0,6373,0,6404,0,7000
44,BEIS,Department for Business Energy and Industrial Strategy,Ordnance Survey,Ordnance Survey products: physical product order fulfillment,Ordering goods,https://www.ordnancesurvey.co.uk/,Data for physical product order fulfillment by Ordance Survey.,Business,Fees and charges,,19137,0,5767,,5767,,5811,,6076,,6366,0,6114,0,6319,0,6141,0,5963,0,5684,0,5690,0,5994,,6079,0,6380,0,6109,0,5830,0,5766,0,19137
27,BEIS,Department for Business Energy and Industrial Strategy,Intellectual Property Office,Change of proprietor's name or address on a trade mark application,Amending/deleting information,https://www.gov.uk/government/publications/trademarkformsandfees,Data for requests for change of proprietor's name or address or other change to application (TM21).,Business,Fees and charges,,5550,,5550,,5274,,5736,,5932,0,6030,0,6129,0,5857,0,5788,0,5868,0,6216,0,6681,0,7010,0,7524,0,7837,0,7859,0,7960,0,7729,0,7960
378,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Certified copies of entries in the register of births deaths marriages or civil partnerships,Requesting a licence or consent,,Data for applications for certified copies of entries in the register of births deaths marriages or civil partnerships.,Individuals,Fees and charges,,,,,,,,5693,,5829,,6013,,6293,,6117,,5284,,4117,0,2605,0,1350,0,759,0,461,0,,0,,,,,,,6293
424,Home Office,Home Office,HM Passport Office,Foreign divorces and foreign civil partnership dissolutions,Requesting a licence or consent,,Data for clearing foreign divorces and foreign civil partnership dissolutions,Individuals,Taxpayers,,5000,0,5471,0,4800,0,5571,0,5388,0,5310,0,5323,0,5216,0,4934,0,4760,0,4615,0,4297,0,4243,0,4117,0,4064,0,4174,0,4173,0,4151,0,5571
429,Home Office,Home Office,HM Passport Office,Adoption orders and new birth certificate,Requesting a licence or consent,,Data for processing adoption orders and providing a new birth certificate,Individuals,Taxpayers,,4500,0,5210,0,5250,0,5565,0,5883,0,6038,0,6301,0,6411,0,6483,0,6714,0,6767,,6729,0,6511,0,6262,0,6130,0,5984,0,5946,0,5838,0,6767
386,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Registrations of a birth abroad,Registering,https://www.gov.uk/registerabirth,Data for applications to register a birth abroad with the General Register Office in the UK.,Individuals,Fees and charges,,,,,,5339,,5530,,5671,,5757,,5996,,5668,,4846,,4093,0,2595,0,1355,0,391,0,130,0,22,0,,,,,,,5996
321,DHSC,Department of Health and Social Care,NHS Blood and Transplant,Updates to the Organ Donation Register,Amending/deleting information,http://www.organdonation.nhs.uk/,Data for updates to donor details on the Organ Donation Register.,Individuals,Taxpayers,An update to the registration system has enabled more accurate and granular data to be provided from April to June 2014. This resulted in a reduction in the number of registrations and a significant increase in the number of updates. ,,,,,,,5460,,18784,,26830,,34241,,723023,,1305952,,1912587,37744,2604377,261603,2706155,555234,2790719,619213,3200925,1037641,3302647,1129461,3476010,1229291,3057847,,2265291,,3476010
337,DWP,Department for Work and Pensions,Health and Safety Executive,Notification of intention to carry out site radiography,Providing information,https://www.hse.gov.uk/forms/notification/index.htm,Data for notifications of site radiography received using form IRR3.,Business,Taxpayers,,,,3797,,,,5018,,5666,,5179,,4015,,3804,,3536,,3694,,4208,,3933,,3637,,3984,,3810,,3815,,3752,,3673,,5666
240,DfT,Department for Transport,Driver and Vehicle Standards Agency,MOT scheme: applications to be a nominated tester,Requesting a licence or consent,,Data for applications to the Driver and Vehicle Standards Agency (DVLA) to be a nominated tester for MOTs.,Business,Fees and charges,,6000,,6000,0,5000,,4988,0,5132,,4997,,5063,0,4955,0,4758,0,4853,0,4824,0,,0,,,,0,,0,,0,,,,,6000
291,DHSC,Department of Health and Social Care,Medicines and Healthcare products Regulatory Agency,IRIS: payments for medicines licences,Making a payment,https://irisaccount.mhra.gov.uk/,Data for payments by pharmaceutical industry customers for medicines licences.,Business,[not provided],,,,,,4750,4750,4937,,5103,,5109,,5164,,5603,,5646,,5879,,6676,,7089,,7659,,8053,,7845,,8219,,8586,,8485,,8586
24,BEIS,Department for Business Energy and Industrial Strategy,Intellectual Property Office,Appointment or change of representative for trade mark owners or holders,Amending/deleting information,https://www.gov.uk/government/publications/trademarkformsandfees,Data for appointment or change of representative (TM33) for trade mark owners or holders.,Business,Fees and charges,,4810,,4810,,,,4197,,4202,0,4437,0,4717,0,4791,0,5795,0,6149,0,6368,0,6983,0,7223,0,7280,0,7386,0,7362,0,6627,0,6543,0,7386
385,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Notices of intended marriage civil partnership overseas relationship,Providing information,,Data for notices of intended marriage civil partnership overseas relationship received at consular offices.,Individuals,Fees and charges,,,,,,,,4133,,3940,,3574,,3435,,3194,,2932,,2677,0,2274,0,2084,0,1972,0,1855,0,1909,0,,,,,,,4133
404,Home Office,Home Office,Disclosure and Barring Service,Requests to correct details in DBS checks,Providing information,https://www.gov.uk/disclosurebarringservicecheck/trackingapplicationgettingcertificate,Data for requests to correct missing or incorrect details about the applicant (eg name address) in Disclosure and Barring Service (formerly Criminal Records Bureau) certificates.,Business,Fees and charges,The start point of all data periods shown for this service is December 2012 when the DBS was formed.,,,,,2069,,4006,,5987,0,8161,0,8598,0,10557,0,12875,0,14667,0,15751,0,14457,0,12368,0,10615,0,9452,0,9233,0,9307,0,8853,0,15751
248,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Vehicle tax: amendments to details,Providing information,,Data for applications for a new vehicle licence when the tax class has changed.,Individuals,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,,,,,4563,0,3828,0,3486,,3476,,3462,0,3304,0,3230,0,3238,0,3318,0,3425,0,3444,0,3369,0,3248,0,3191,0,3456,0,3446,0,4563
